,m,n,snr,snr2,p,nsspecfit_slope,nsspecfit_intercept,nsspecfit_r2
163,100,100,4.000000,3.000000,0.650000,1.437866,-0.650060,0.960812
164,100,100,4.000000,3.000000,0.700000,1.358930,-0.521681,0.958926
165,100,100,4.000000,3.000000,0.750000,1.301972,-0.427445,0.957754
166,100,100,4.000000,3.000000,0.800000,1.255172,-0.336782,0.959395
167,100,100,4.000000,3.000000,0.850000,1.212592,-0.262900,0.956901
168,100,100,4.000000,3.000000,0.900000,1.153468,-0.168517,0.951691
169,100,100,4.000000,3.000000,0.950000,1.116571,-0.104968,0.950859
170,100,100,4.000000,3.000000,1.000000,1.075859,-0.036576,0.947209
171,100,100,4.000000,4.000000,0.100000,4.074449,-5.511596,0.984514
172,100,100,4.000000,4.000000,0.150000,3.197214,-3.888055,0.985547
173,100,100,4.000000,4.000000,0.200000,2.815843,-3.156120,0.978112
174,100,100,4.000000,4.000000,0.250000,2.505726,-2.581518,0.974465
175,100,100,4.000000,4.000000,0.300000,2.254329,-2.119726,0.970191
176,100,100,4.000000,4.000000,0.350000,2.099040,-1.817213,0.963094
177,100,100,4.000000,4.000000,0.400000,1.964675,-1.559858,0.944042
178,100,100,4.000000,4.000000,0.450000,1.853332,-1.349083,0.927908
179,100,100,4.000000,4.000000,0.500000,1.712589,-1.113061,0.931846
180,100,100,4.000000,4.000000,0.550000,1.625288,-0.958397,0.933080
181,100,100,4.000000,4.000000,0.600000,1.554788,-0.819930,0.912660
182,100,100,4.000000,4.000000,0.650000,1.485213,-0.691091,0.909777
183,100,100,4.000000,4.000000,0.700000,1.404057,-0.558990,0.903906
184,100,100,4.000000,4.000000,0.750000,1.342176,-0.458869,0.905107
185,100,100,4.000000,4.000000,0.800000,1.290766,-0.362918,0.910784
186,100,100,4.000000,4.000000,0.850000,1.248109,-0.287969,0.902946
187,100,100,4.000000,4.000000,0.900000,1.186885,-0.190371,0.894112
188,100,100,4.000000,4.000000,0.950000,1.147039,-0.123816,0.895273
189,100,100,4.000000,4.000000,1.000000,1.104413,-0.053139,0.890173
190,100,100,5.000000,1.000000,0.100000,3.853568,-5.202138,0.986033
191,100,100,5.000000,1.000000,0.150000,3.054293,-3.703083,0.989379
192,100,100,5.000000,1.000000,0.200000,2.652291,-2.942300,0.991657
193,100,100,5.000000,1.000000,0.250000,2.340885,-2.382127,0.992653
194,100,100,5.000000,1.000000,0.300000,2.074136,-1.914085,0.995397
195,100,100,5.000000,1.000000,0.350000,1.924073,-1.628420,0.996135
196,100,100,5.000000,1.000000,0.400000,1.759515,-1.340330,0.996937
197,100,100,5.000000,1.000000,0.450000,1.636545,-1.122589,0.997558
198,100,100,5.000000,1.000000,0.500000,1.570572,-0.968055,0.997267
199,100,100,5.000000,1.000000,0.550000,1.490285,-0.834352,0.997470
200,100,100,5.000000,1.000000,0.600000,1.407059,-0.686402,0.997373
201,100,100,5.000000,1.000000,0.650000,1.334035,-0.566281,0.998077
202,100,100,5.000000,1.000000,0.700000,1.284640,-0.467516,0.998332
203,100,100,5.000000,1.000000,0.750000,1.235217,-0.379256,0.998290
204,100,100,5.000000,1.000000,0.800000,1.187310,-0.292146,0.998627
205,100,100,5.000000,1.000000,0.850000,1.132078,-0.201464,0.998673
206,100,100,5.000000,1.000000,0.900000,1.095967,-0.134658,0.998712
207,100,100,5.000000,1.000000,0.950000,1.057780,-0.069284,0.998962
208,100,100,5.000000,1.000000,1.000000,1.019163,-0.004363,0.999418
209,100,100,5.000000,2.000000,0.100000,3.906286,-5.274287,0.985501
210,100,100,5.000000,2.000000,0.150000,3.098538,-3.758267,0.989547
211,100,100,5.000000,2.000000,0.200000,2.705406,-3.007374,0.991595
212,100,100,5.000000,2.000000,0.250000,2.391672,-2.441131,0.991245
213,100,100,5.000000,2.000000,0.300000,2.111575,-1.954524,0.994606
214,100,100,5.000000,2.000000,0.350000,1.964986,-1.670941,0.995347
215,100,100,5.000000,2.000000,0.400000,1.801678,-1.382765,0.995757
216,100,100,5.000000,2.000000,0.450000,1.675873,-1.160241,0.995452
217,100,100,5.000000,2.000000,0.500000,1.602903,-0.996399,0.996269
218,100,100,5.000000,2.000000,0.550000,1.525213,-0.864430,0.994380
219,100,100,5.000000,2.000000,0.600000,1.443170,-0.716719,0.993530
220,100,100,5.000000,2.000000,0.650000,1.366198,-0.591693,0.993584
221,100,100,5.000000,2.000000,0.700000,1.316595,-0.491499,0.994651
222,100,100,5.000000,2.000000,0.750000,1.267404,-0.402878,0.993449
223,100,100,5.000000,2.000000,0.800000,1.217265,-0.312956,0.991335
224,100,100,5.000000,2.000000,0.850000,1.161020,-0.220429,0.990892
225,100,100,5.000000,2.000000,0.900000,1.123839,-0.151796,0.989526
226,100,100,5.000000,2.000000,0.950000,1.084974,-0.085260,0.989893
227,100,100,5.000000,2.000000,1.000000,1.044439,-0.017785,0.990230
228,100,100,5.000000,3.000000,0.100000,3.970879,-5.359558,0.986492
229,100,100,5.000000,3.000000,0.150000,3.179559,-3.862712,0.988854
230,100,100,5.000000,3.000000,0.200000,2.800871,-3.128170,0.989373
231,100,100,5.000000,3.000000,0.250000,2.490012,-2.562481,0.986513
232,100,100,5.000000,3.000000,0.300000,2.189309,-2.044747,0.989258
233,100,100,5.000000,3.000000,0.350000,2.046114,-1.761820,0.982176
234,100,100,5.000000,3.000000,0.400000,1.881163,-1.469548,0.979942
235,100,100,5.000000,3.000000,0.450000,1.744891,-1.231314,0.973496
236,100,100,5.000000,3.000000,0.500000,1.666434,-1.058341,0.977019
237,100,100,5.000000,3.000000,0.550000,1.586034,-0.921904,0.967686
238,100,100,5.000000,3.000000,0.600000,1.500169,-0.767998,0.962819
239,100,100,5.000000,3.000000,0.650000,1.417345,-0.635472,0.961269
240,100,100,5.000000,3.000000,0.700000,1.367277,-0.533002,0.962473
241,100,100,5.000000,3.000000,0.750000,1.313488,-0.438687,0.958383
242,100,100,5.000000,3.000000,0.800000,1.260291,-0.344841,0.951490
243,100,100,5.000000,3.000000,0.850000,1.201086,-0.248298,0.949817
244,100,100,5.000000,3.000000,0.900000,1.161988,-0.176817,0.945314
245,100,100,5.000000,3.000000,0.950000,1.121014,-0.107696,0.946830
246,100,100,5.000000,3.000000,1.000000,1.077096,-0.036431,0.947647
247,100,100,5.000000,4.000000,0.100000,4.094100,-5.533894,0.986079
